"text","inputModeHint","isForAnotherPersonHint","actionType","postNature","targetAudience","postInputMode","locationSharingMode","dangerLevel","helpType","requesterProfile","helpInputMode","presetMessageKey","needsAudioGuidance","needsVisualSupport","needsPhysicalAssistance","needsSimpleLanguage","isForAnotherPerson"
"rampe cassee devant mairie svp","keyboard","False","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","False","False","True","True","False"
"info utile centre accesib pr tous","voice","False","create_post","information","all","voice","approximate","none","none","none","none","none","False","False","False","True","False"
"conseil traversez au feu vert seulement","keyboard","False","create_post","conseil","all","keyboard","none","low","none","none","none","none","False","False","False","True","False"
"temoignage bus 12 no access wheel chair","vibration","False","create_post","temoignage","motor","vibration","approximate","medium","none","none","none","none","False","False","True","True","False"
"alerte trou tres dangreux trottoire","headEyes","False","create_post","alerte","all","headEyes","precise","critical","none","none","none","none","False","True","True","True","False"
"je signale feu pieton sans son","voice","False","create_post","signalement","visual","voice","precise","medium","none","none","none","none","True","False","False","True","False"
"new info pharmacie accessible","keyboard","False","create_post","information","all","keyboard","approximate","none","none","none","none","none","False","False","False","False","False"
"conseil pour aidant accompagner malvoyant","deafBlind","False","create_post","conseil","caregiver","deafBlind","none","low","none","none","none","none","True","True","False","True","False"
"temoignage cafe inclusif top service","keyboard","False","create_post","temoignage","all","keyboard","none","none","none","none","none","none","False","False","False","False","False"
"alerte escalier glissant a l entree","voice","False","create_post","alerte","all","voice","precise","critical","none","none","none","none","False","True","True","True","False"
"signalement ascenseur panne metro","keyboard","False","create_post","signalement","motor","keyboard","approximate","medium","none","none","none","none","False","False","True","True","False"
"information event accessible ce weekend","caregiver","True","create_post","information","caregiver","caregiver","none","none","none","none","none","none","False","False","False","True","True"
"conseil simple pour evacuer calmement","keyboard","False","create_post","conseil","cognitive","keyboard","none","low","none","none","none","none","False","True","False","True","False"
"temoignage signaletique audio tres aide","voice","False","create_post","temoignage","visual","voice","none","none","none","none","none","none","True","False","False","False","False"
"alert ya3ni danger fi station bus","headEyes","False","create_post","alerte","all","headEyes","precise","critical","none","none","none","none","False","False","True","True","False"
"signalement trottoir bloque by moto","keyboard","False","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","False","False","True","True","False"
"info: medecin place now accessible","voice","False","create_post","information","all","voice","approximate","none","none","none","none","none","False","False","False","False","False"
"conseil keep left pour canne blanche","voice","False","create_post","conseil","visual","voice","none","low","none","none","none","none","True","False","False","True","False"
"temoignage guichet difficile pr sourd","deafBlind","False","create_post","temoignage","hearing","deafBlind","none","low","none","none","none","none","False","True","False","True","False"
"alerte agression pres arret bus","vibration","False","create_post","alerte","all","vibration","precise","critical","none","none","none","none","False","False","True","True","False"
"signalement passage pieton efface","keyboard","False","create_post","signalement","all","keyboard","precise","low","none","none","none","none","False","False","False","True","False"
"information ascenseur repare hamdoulah","voice","False","create_post","information","all","voice","approximate","none","none","none","none","none","False","False","False","False","False"
"conseil pour caregiver speak slowly","caregiver","True","create_post","conseil","caregiver","caregiver","none","low","none","none","none","none","False","True","False","True","True"
"temoignage nice staff fi baladia","keyboard","False","create_post","temoignage","all","keyboard","none","none","none","none","none","none","False","False","False","False","False"
"alerte marche casse zone school","headEyes","False","create_post","alerte","all","headEyes","precise","critical","none","none","none","none","False","True","True","True","False"
"signalement access denied fauteuil","vibration","False","create_post","signalement","motor","vibration","approximate","medium","none","none","none","none","False","False","True","True","False"
"information parking PMR dispo","keyboard","False","create_post","information","motor","keyboard","approximate","none","none","none","none","none","False","False","False","False","False"
"conseil phrase courte svp","keyboard","False","create_post","conseil","cognitive","keyboard","none","low","none","none","none","none","False","True","False","True","False"
"temoignage entree sans rampe hier","voice","False","create_post","temoignage","motor","voice","approximate","medium","none","none","none","none","False","False","True","True","False"
"alerte trottoir inonde tres risky","voice","False","create_post","alerte","all","voice","precise","critical","none","none","none","none","False","False","True","True","False"
"signalement borne ticket trop haute","headEyes","False","create_post","signalement","motor","headEyes","precise","medium","none","none","none","none","False","False","True","True","False"
"info arabe translit: masar mzyan","keyboard","False","create_post","information","all","keyboard","approximate","none","none","none","none","none","False","False","False","False","False"
"conseil pour deaf user ecrire clair","caregiver","True","create_post","conseil","hearing","caregiver","none","low","none","none","none","none","False","True","False","True","True"
"temoignage file attente longue mais ok","keyboard","False","create_post","temoignage","all","keyboard","none","none","none","none","none","none","False","False","False","False","False"
"alerte rail expose fi rue","vibration","False","create_post","alerte","all","vibration","precise","critical","none","none","none","none","False","True","True","True","False"
